t, x_pos_ref, y_pos_ref, z_pos_ref, x_pos, y_pos, z_pos, opt_ux, opt_uy, opt_uz
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.007000, -0.004333, 0.000000, 0.337299, 0.001084, 0.000000, 0.349314, -0.000000, 0.000000, 0.000000 
0.017000, -0.006229, 0.000014, 0.317230, -0.000325, 0.000012, 0.319067, 0.000000, 0.000000, -0.000000 
0.027000, -0.010621, -0.000011, 0.300647, -0.015871, 0.000026, 0.298210, -0.001610, 0.003307, -0.000428 
0.037000, -0.017084, -0.000430, 0.287306, -0.018142, -0.000173, 0.286646, 0.000759, 0.000059, -0.000518 
0.047000, -0.016578, -0.001316, 0.276967, -0.016546, -0.000940, 0.279289, 0.000465, -0.000651, -0.000034 
0.057000, -0.014781, -0.002827, 0.269393, -0.014186, -0.002284, 0.269225, -0.000226, -0.000241, 0.000279 
0.067000, -0.013215, -0.004846, 0.264348, -0.014908, -0.004293, 0.264564, -0.000191, -0.000532, 0.001134 
0.077000, -0.012025, -0.007198, 0.261602, -0.012647, -0.006665, 0.261040, 0.000682, -0.000049, 0.000187 
0.087000, -0.009061, -0.009840, 0.260928, -0.010647, -0.009272, 0.260917, 0.000387, -0.000921, 0.000563 
0.097000, -0.006231, -0.012528, 0.262101, -0.006823, -0.011895, 0.261364, 0.000008, -0.000180, 0.000016 
0.107000, -0.003300, -0.015226, 0.264901, -0.004254, -0.014691, 0.265104, -0.000047, -0.000142, -0.000011 
0.117000, -0.000340, -0.017644, 0.269110, -0.000965, -0.017129, 0.268381, 0.000039, 0.000130, -0.000166 
