t, x_pos_ref, y_pos_ref, z_pos_ref, x_pos, y_pos, z_pos, opt_ux, opt_uy, opt_uz
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.007000, -0.000156, 0.000000, 0.353229, -0.000156, 0.000000, 0.353229, -0.000000, 0.000000, 0.000000 
0.017000, -0.002354, 0.000031, 0.351790, -0.002354, 0.000031, 0.351790, -0.000349, -0.000000, 0.000500 
0.027000, -0.005510, 0.000099, 0.349857, -0.005510, 0.000099, 0.349857, -0.002513, 0.101795, 0.142827 
0.037000, -0.006301, -0.000152, 0.346662, -0.006301, -0.000152, 0.346662, -16.980035, -0.006633, 24.908591 
0.047000, -0.007323, -0.000625, 0.343276, -0.007323, -0.000625, 0.343276, -19.456913, 2.441547, 32.060351 
0.057000, -0.009269, -0.001022, 0.339849, -0.009269, -0.001022, 0.339849, -15.916668, 6.330710, 32.527671 
0.067000, -0.011498, -0.001198, 0.336364, -0.011498, -0.001198, 0.336364, -14.423189, 7.598177, 32.276640 
0.077000, -0.013503, -0.001121, 0.332654, -0.013503, -0.001121, 0.332654, -15.041173, 7.579548, 33.266302 
0.087000, -0.015661, -0.001002, 0.328719, -0.015661, -0.001002, 0.328719, -15.126969, 8.667569, 35.068191 
0.097000, -0.017917, -0.000683, 0.324640, -0.017917, -0.000683, 0.324640, -14.708714, 9.192288, 38.476263 
0.107000, -0.020241, -0.000221, 0.320393, -0.020241, -0.000221, 0.320393, -13.630462, 9.041216, 42.514272 
0.117000, -0.022528, 0.000519, 0.316008, -0.022528, 0.000519, 0.316008, -12.863724, 6.985602, 46.350892 
