t, x_pos_ref, y_pos_ref, z_pos_ref, x_pos, y_pos, z_pos, opt_ux, opt_uy, opt_uz
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.007000, -0.000163, 0.000000, 0.353103, -0.000163, 0.000000, 0.353103, -0.000000, 0.000000, 0.000000 
0.017000, -0.002453, 0.000025, 0.349766, -0.002453, 0.000025, 0.349766, -0.001048, -0.000032, 0.002105 
0.027000, -0.005714, 0.000080, 0.345132, -0.005714, 0.000080, 0.345132, 0.098977, 0.785478, 25.369124 
0.037000, -0.006550, -0.000160, 0.341852, -0.006550, -0.000160, 0.341852, -30.319861, 10.536388, 63.576020 
0.047000, -0.007652, -0.000523, 0.338646, -0.007652, -0.000523, 0.338646, -34.315639, 14.608940, 71.524249 
0.057000, -0.009679, -0.000797, 0.334629, -0.009679, -0.000797, 0.334629, -29.541040, 16.928244, 80.169776 
0.067000, -0.012029, -0.000922, 0.330296, -0.012029, -0.000922, 0.330296, -26.318414, 17.580781, 82.037051 
0.077000, -0.014134, -0.000790, 0.325947, -0.014134, -0.000790, 0.325947, -25.110514, 16.391959, 82.490844 
0.087000, -0.016392, -0.000638, 0.321387, -0.016392, -0.000638, 0.321387, -23.231492, 16.391478, 81.862788 
0.097000, -0.018689, -0.000242, 0.316616, -0.018689, -0.000242, 0.316616, -19.596233, 13.814069, 80.374269 
0.107000, -0.021047, 0.000254, 0.311642, -0.021047, 0.000254, 0.311642, -16.416863, 11.877688, 78.445565 
0.117000, -0.023341, 0.001022, 0.306462, -0.023341, 0.001022, 0.306462, -14.388725, 8.672846, 76.956225 
