t, x_pos_ref, y_pos_ref, z_pos_ref, x_pos, y_pos, z_pos, opt_ux, opt_uy, opt_uz
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.000000, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.353553, -0.000000, 0.000000, 0.000000 
0.007000, -0.004230, 0.000000, 0.337299, 0.001103, -0.000000, 0.349167, -0.000000, 0.000000, 0.000000 
0.017000, -0.005981, 0.000018, 0.317230, -0.000407, 0.000009, 0.317674, 0.000000, 0.000000, 0.000000 
0.027000, -0.011252, -0.000024, 0.300647, -0.017177, 0.000022, 0.298428, -0.001541, 0.003226, 0.000304 
0.037000, -0.016946, -0.000477, 0.287306, -0.017379, -0.000238, 0.286968, 0.000769, 0.000072, 0.000220 
0.047000, -0.016251, -0.001406, 0.276967, -0.015533, -0.001012, 0.279008, 0.000456, -0.000641, -0.000115 
0.057000, -0.014468, -0.002972, 0.269393, -0.015092, -0.002429, 0.269129, -0.000253, -0.000227, -0.000193 
0.067000, -0.013124, -0.005027, 0.264348, -0.014692, -0.004544, 0.263110, -0.000270, -0.000533, -0.000811 
0.077000, -0.011806, -0.007402, 0.261602, -0.013067, -0.006823, 0.262173, 0.000608, 0.000038, -0.000001 
0.087000, -0.008804, -0.010059, 0.260928, -0.009190, -0.009469, 0.259974, 0.000343, -0.000927, -0.000238 
0.097000, -0.006031, -0.012749, 0.262101, -0.007508, -0.012190, 0.262202, 0.000006, -0.000161, 0.000196 
0.107000, -0.003103, -0.015446, 0.264901, -0.003913, -0.014834, 0.263881, -0.000021, -0.000154, 0.000207 
0.117000, -0.000175, -0.017836, 0.269110, -0.001262, -0.017340, 0.269056, 0.000074, 0.000139, 0.000362 
